date,pollutant,concentration
2017-01-01,CO,0.561
2017-02-01,CO,0.53
2017-03-01,CO,0.589
2017-04-01,CO,0.662
2017-05-01,CO,
2017-06-01,CO,
2017-07-01,CO,0.716
2017-08-01,CO,0.661
2017-09-01,CO,0.682
2017-10-01,CO,0.68
2017-11-01,CO,0.699
2017-12-01,CO,0.679
2018-01-01,CO,0.671
2018-02-01,CO,0.677
2018-03-01,CO,0.654
2018-04-01,CO,0.682
2018-05-01,CO,0.671
2018-06-01,CO,0.648
2018-07-01,CO,0.653
2018-08-01,CO,0.655
2018-09-01,CO,0.615
2018-10-01,CO,0.632
2018-11-01,CO,0.636
2018-12-01,CO,0.626
2019-01-01,CO,0.636
2019-02-01,CO,0.588
2019-03-01,CO,0.669
2019-04-01,CO,0.644
2019-05-01,CO,0.627
2019-06-01,CO,0.585
2019-07-01,CO,0.629
2019-08-01,CO,0.708
2019-09-01,CO,0.888
2019-10-01,CO,0.629
2019-11-01,CO,0.633
2019-12-01,CO,0.565
2020-01-01,CO,0.553
2020-02-01,CO,0.544
2020-03-01,CO,0.542
2020-04-01,CO,0.473
2020-05-01,CO,0.496
2020-06-01,CO,0.529
2020-07-01,CO,0.545
2020-08-01,CO,0.585
2020-09-01,CO,0.555
2020-10-01,CO,0.548
2020-11-01,CO,0.549
2020-12-01,CO,0.62
2021-01-01,CO,0.549
2021-02-01,CO,0.533
2021-03-01,CO,0.538
2021-04-01,CO,0.563
2021-05-01,CO,0.526
2021-06-01,CO,0.488
2021-07-01,CO,0.518
2021-08-01,CO,0.494
2021-09-01,CO,0.531
2021-10-01,CO,0.564
2021-11-01,CO,0.539
2021-12-01,CO,0.562
2022-01-01,CO,0.572
2022-02-01,CO,0.515
2022-03-01,CO,0.535
2022-04-01,CO,0.575
2022-05-01,CO,0.537
2022-06-01,CO,0.513
2022-07-01,CO,0.534
2022-08-01,CO,0.508
2022-09-01,CO,0.523
2022-10-01,CO,0.501
2022-11-01,CO,0.515
2022-12-01,CO,0.503
2017-01-01,NO2,0.0076
2017-02-01,NO2,0.0071
2017-03-01,NO2,0.0082
2017-04-01,NO2,0.0087
2017-05-01,NO2,
2017-06-01,NO2,
2017-07-01,NO2,0.0082
2017-08-01,NO2,0.0078
2017-09-01,NO2,0.0076
2017-10-01,NO2,0.0082
2017-11-01,NO2,0.008
2017-12-01,NO2,0.0074
2018-01-01,NO2,0.0078
2018-02-01,NO2,0.0069
2018-03-01,NO2,0.0074
2018-04-01,NO2,0.0075
2018-05-01,NO2,0.0076
2018-06-01,NO2,0.0074
2018-07-01,NO2,0.0096
2018-08-01,NO2,0.0077
2018-09-01,NO2,0.0079
2018-10-01,NO2,0.0076
2018-11-01,NO2,0.0074
2018-12-01,NO2,0.007
2019-01-01,NO2,0.0066
2019-02-01,NO2,0.0063
2019-03-01,NO2,0.0074
2019-04-01,NO2,0.0077
2019-05-01,NO2,0.0074
2019-06-01,NO2,0.0069
2019-07-01,NO2,0.0075
2019-08-01,NO2,0.0076
2019-09-01,NO2,0.0081
2019-10-01,NO2,0.0074
2019-11-01,NO2,0.0073
2019-12-01,NO2,0.0061
2020-01-01,NO2,0.0059
2020-02-01,NO2,0.0057
2020-03-01,NO2,0.0051
2020-04-01,NO2,0.0032
2020-05-01,NO2,0.0047
2020-06-01,NO2,0.0061
2020-07-01,NO2,0.0065
2020-08-01,NO2,0.0064
2020-09-01,NO2,0.0064
2020-10-01,NO2,0.0066
2020-11-01,NO2,0.0061
2020-12-01,NO2,0.0065
2021-01-01,NO2,0.0054
2021-02-01,NO2,0.0052
2021-03-01,NO2,0.0062
2021-04-01,NO2,0.0069
2021-05-01,NO2,0.0059
2021-06-01,NO2,0.0046
2021-07-01,NO2,0.0048
2021-08-01,NO2,0.0049
2021-09-01,NO2,0.0058
2021-10-01,NO2,0.0063
2021-11-01,NO2,0.0063
2021-12-01,NO2,0.006
2022-01-01,NO2,0.0061
2022-02-01,NO2,0.0052
2022-03-01,NO2,0.0058
2022-04-01,NO2,0.0068
2022-05-01,NO2,0.0065
2022-06-01,NO2,0.0064
2022-07-01,NO2,0.0065
2022-08-01,NO2,0.0067
2022-09-01,NO2,0.0067
2022-10-01,NO2,0.0063
2022-11-01,NO2,0.0066
2022-12-01,NO2,0.0062
2017-01-01,O3,0.015
2017-02-01,O3,0.018
2017-03-01,O3,0.017
2017-04-01,O3,0.015
2017-05-01,O3,
2017-06-01,O3,
2017-07-01,O3,0.016
2017-08-01,O3,0.016
2017-09-01,O3,0.015
2017-10-01,O3,0.017
2017-11-01,O3,0.015
2017-12-01,O3,0.02
2018-01-01,O3,0.015
2018-02-01,O3,0.024
2018-03-01,O3,0.019
2018-04-01,O3,0.019
2018-05-01,O3,0.017
2018-06-01,O3,0.017
2018-07-01,O3,0.018
2018-08-01,O3,0.02
2018-09-01,O3,0.017
2018-10-01,O3,0.016
2018-11-01,O3,0.016
2018-12-01,O3,0.015
2019-01-01,O3,0.02
2019-02-01,O3,0.02
2019-03-01,O3,0.023
2019-04-01,O3,0.019
2019-05-01,O3,0.017
2019-06-01,O3,0.016
2019-07-01,O3,0.019
2019-08-01,O3,0.02
2019-09-01,O3,0.022
2019-10-01,O3,0.016
2019-11-01,O3,0.016
2019-12-01,O3,0.018
2020-01-01,O3,0.019
2020-02-01,O3,0.02
2020-03-01,O3,0.019
2020-04-01,O3,0.018
2020-05-01,O3,0.017
2020-06-01,O3,0.015
2020-07-01,O3,0.014
2020-08-01,O3,0.016
2020-09-01,O3,0.013
2020-10-01,O3,0.014
2020-11-01,O3,0.013
2020-12-01,O3,0.016
2021-01-01,O3,0.019
2021-02-01,O3,0.023
2021-03-01,O3,0.016
2021-04-01,O3,0.017
2021-05-01,O3,0.015
2021-06-01,O3,0.016
2021-07-01,O3,0.016
2021-08-01,O3,0.013
2021-09-01,O3,0.014
2021-10-01,O3,0.015
2021-11-01,O3,0.013
2021-12-01,O3,0.017
2022-01-01,O3,0.019
2022-02-01,O3,0.014
2022-03-01,O3,0.015
2022-04-01,O3,0.016
2022-05-01,O3,0.015
2022-06-01,O3,0.014
2022-07-01,O3,0.015
2022-08-01,O3,0.015
2022-09-01,O3,0.014
2022-10-01,O3,0.013
2022-11-01,O3,0.014
2022-12-01,O3,0.017
2017-01-01,PM 10,38.0
2017-02-01,PM 10,40.89
2017-03-01,PM 10,42.31
2017-04-01,PM 10,37.76
2017-05-01,PM 10,
2017-06-01,PM 10,
2017-07-01,PM 10,29.31
2017-08-01,PM 10,24.96
2017-09-01,PM 10,23.41
2017-10-01,PM 10,24.32
2017-11-01,PM 10,17.91
2017-12-01,PM 10,21.6
2018-01-01,PM 10,19.14
2018-02-01,PM 10,26.06
2018-03-01,PM 10,24.84
2018-04-01,PM 10,25.64
2018-05-01,PM 10,22.6
2018-06-01,PM 10,25.88
2018-07-01,PM 10,30.29
2018-08-01,PM 10,36.47
2018-09-01,PM 10,26.97
2018-10-01,PM 10,22.22
2018-11-01,PM 10,20.03
2018-12-01,PM 10,18.89
2019-01-01,PM 10,22.26
2019-02-01,PM 10,23.59
2019-03-01,PM 10,31.92
2019-04-01,PM 10,26.95
2019-05-01,PM 10,23.74
2019-06-01,PM 10,22.16
2019-07-01,PM 10,29.98
2019-08-01,PM 10,42.2
2019-09-01,PM 10,64.11
2019-10-01,PM 10,22.39
2019-11-01,PM 10,21.52
2019-12-01,PM 10,19.09
2020-01-01,PM 10,21.37
2020-02-01,PM 10,23.18
2020-03-01,PM 10,22.96
2020-04-01,PM 10,17.7
2020-05-01,PM 10,17.58
2020-06-01,PM 10,19.48
2020-07-01,PM 10,18.55
2020-08-01,PM 10,22.81
2020-09-01,PM 10,18.23
2020-10-01,PM 10,19.19
2020-11-01,PM 10,17.11
2020-12-01,PM 10,18.55
2021-01-01,PM 10,19.65
2021-02-01,PM 10,25.74
2021-03-01,PM 10,22.54
2021-04-01,PM 10,22.55
2021-05-01,PM 10,20.28
2021-06-01,PM 10,19.65
2021-07-01,PM 10,22.76
2021-08-01,PM 10,18.16
2021-09-01,PM 10,18.6
2021-10-01,PM 10,20.53
2021-11-01,PM 10,16.84
2021-12-01,PM 10,18.86
2022-01-01,PM 10,21.98
2022-02-01,PM 10,18.09
2022-03-01,PM 10,19.76
2022-04-01,PM 10,20.59
2022-05-01,PM 10,21.16
2022-06-01,PM 10,18.67
2022-07-01,PM 10,23.55
2022-08-01,PM 10,20.64
2022-09-01,PM 10,19.41
2022-10-01,PM 10,17.35
2022-11-01,PM 10,17.4
2022-12-01,PM 10,18.44
2017-01-01,PM 2.5,
2017-02-01,PM 2.5,
2017-03-01,PM 2.5,
2017-04-01,PM 2.5,
2017-05-01,PM 2.5,
2017-06-01,PM 2.5,
2017-07-01,PM 2.5,
2017-08-01,PM 2.5,
2017-09-01,PM 2.5,
2017-10-01,PM 2.5,
2017-11-01,PM 2.5,
2017-12-01,PM 2.5,
2018-01-01,PM 2.5,11.43
2018-02-01,PM 2.5,16.75
2018-03-01,PM 2.5,15.61
2018-04-01,PM 2.5,16.34
2018-05-01,PM 2.5,14.54
2018-06-01,PM 2.5,17.28
2018-07-01,PM 2.5,20.63
2018-08-01,PM 2.5,25.84
2018-09-01,PM 2.5,18.21
2018-10-01,PM 2.5,14.5
2018-11-01,PM 2.5,12.33
2018-12-01,PM 2.5,11.54
2019-01-01,PM 2.5,12.96
2019-02-01,PM 2.5,15.23
2019-03-01,PM 2.5,23.17
2019-04-01,PM 2.5,18.69
2019-05-01,PM 2.5,15.52
2019-06-01,PM 2.5,14.57
2019-07-01,PM 2.5,20.79
2019-08-01,PM 2.5,31.74
2019-09-01,PM 2.5,52.86
2019-10-01,PM 2.5,15.46
2019-11-01,PM 2.5,13.92
2019-12-01,PM 2.5,10.95
2020-01-01,PM 2.5,12.62
2020-02-01,PM 2.5,12.93
2020-03-01,PM 2.5,15.01
2020-04-01,PM 2.5,11.81
2020-05-01,PM 2.5,11.14
2020-06-01,PM 2.5,12.21
2020-07-01,PM 2.5,11.74
2020-08-01,PM 2.5,15.15
2020-09-01,PM 2.5,11.52
2020-10-01,PM 2.5,12.36
2020-11-01,PM 2.5,10.1
2020-12-01,PM 2.5,10.92
2021-01-01,PM 2.5,11.36
2021-02-01,PM 2.5,15.94
2021-03-01,PM 2.5,14.3
2021-04-01,PM 2.5,14.07
2021-05-01,PM 2.5,12.62
2021-06-01,PM 2.5,13.3
2021-07-01,PM 2.5,15.27
2021-08-01,PM 2.5,11.76
2021-09-01,PM 2.5,12.06
2021-10-01,PM 2.5,13.14
2021-11-01,PM 2.5,10.02
2021-12-01,PM 2.5,11.43
2022-01-01,PM 2.5,13.6
2022-02-01,PM 2.5,10.87
2022-03-01,PM 2.5,12.2
2022-04-01,PM 2.5,13.25
2022-05-01,PM 2.5,13.29
2022-06-01,PM 2.5,11.63
2022-07-01,PM 2.5,14.86
2022-08-01,PM 2.5,13.4
2022-09-01,PM 2.5,12.42
2022-10-01,PM 2.5,10.48
2022-11-01,PM 2.5,10.38
2022-12-01,PM 2.5,10.75
2017-01-01,SO2,0.0023
2017-02-01,SO2,0.0025
2017-03-01,SO2,0.0028
2017-04-01,SO2,0.0027
2017-05-01,SO2,
2017-06-01,SO2,
2017-07-01,SO2,0.0014
2017-08-01,SO2,0.001
2017-09-01,SO2,0.0011
2017-10-01,SO2,0.0012
2017-11-01,SO2,0.001
2017-12-01,SO2,0.001
2018-01-01,SO2,0.001
2018-02-01,SO2,0.0011
2018-03-01,SO2,0.001
2018-04-01,SO2,0.001
2018-05-01,SO2,0.001
2018-06-01,SO2,0.0011
2018-07-01,SO2,0.0011
2018-08-01,SO2,0.0011
2018-09-01,SO2,0.001
2018-10-01,SO2,0.001
2018-11-01,SO2,0.001
2018-12-01,SO2,0.0009
2019-01-01,SO2,0.001
2019-02-01,SO2,0.0011
2019-03-01,SO2,0.0011
2019-04-01,SO2,0.001
2019-05-01,SO2,0.001
2019-06-01,SO2,0.001
2019-07-01,SO2,0.0011
2019-08-01,SO2,0.0013
2019-09-01,SO2,0.0011
2019-10-01,SO2,0.001
2019-11-01,SO2,0.001
2019-12-01,SO2,0.001
2020-01-01,SO2,0.001
2020-02-01,SO2,0.001
2020-03-01,SO2,0.0009
2020-04-01,SO2,0.0009
2020-05-01,SO2,0.0009
2020-06-01,SO2,0.001
2020-07-01,SO2,0.001
2020-08-01,SO2,0.0011
2020-09-01,SO2,0.0011
2020-10-01,SO2,0.0011
2020-11-01,SO2,0.0011
2020-12-01,SO2,0.0012
2021-01-01,SO2,0.0011
2021-02-01,SO2,0.0012
2021-03-01,SO2,0.0011
2021-04-01,SO2,0.0011
2021-05-01,SO2,0.001
2021-06-01,SO2,0.0011
2021-07-01,SO2,0.0011
2021-08-01,SO2,0.0011
2021-09-01,SO2,0.0011
2021-10-01,SO2,0.0011
2021-11-01,SO2,0.0012
2021-12-01,SO2,0.0012
2022-01-01,SO2,0.0012
2022-02-01,SO2,0.0011
2022-03-01,SO2,0.0012
2022-04-01,SO2,0.0012
2022-05-01,SO2,0.0011
2022-06-01,SO2,0.0012
2022-07-01,SO2,0.0012
2022-08-01,SO2,0.0012
2022-09-01,SO2,0.0012
2022-10-01,SO2,0.0012
2022-11-01,SO2,0.0012
2022-12-01,SO2,0.0013
